Number, Volume, Lit Year, Started, Finished, Proofread, BookEntry, Start 2nd, Finish 2nd
 68, AJB 68, 1968, 2010-09-28, 2010-10-15, 2010-10-17, 2013-03-04, 2020-09-08, 2020-09-14
 67, AJB 67, 1967, 2010-10-18, 2010-10-30, 2010-10-31, 2013-03-04, 2020-09-15, 2020-09-19
 66, AJB 66, 1966, 2010-11-01, 2010-11-08, 2010-11-13, 2013-03-04, 2020-09-20, 2020-09-25
 65, AJB 65, 1965, 2010-11-20, 2010-11-27, 2011-03-27, 2013-03-04, 2020-09-26, 2020-10-01
 64, AJB 64, 1964, 2011-02-04, 2011-06-01, 2011-06-18, 2013-03-04, 2020-10-02, 2020-10-04
 63, AJB 63, 1963, 2011-06-20, 2011-08-25, 2011-11-13, 2013-03-04, 2020-10-05, 2020-10-09
 62, AJB 62, 1962, 2011-08-28, 2011-11-11, 2011-11-18, 2013-03-03, 2020-10-10, 2020-10-17
 61, AJB 61, 1961, 2011-11-19, 2012-01-02, 2012-02-18, 2013-03-03, 2020-10-19, 2020-10-25
 60, AJB 60, 1960, 2012-03-04, 2012-07-08, 2012-07-23, 2013-03-03, 2020-10-27, 2020-10-30
 59, AJB 59, 1959, 2012-11-03, 2012-11-22, 2012-12-26, 2013-03-02, 2020-11-01, 2020-11-05
 58, AJB 58, 1958, 2012-11-23, 2012-12-24, 2013-03-01, , 2020-11-06, 2020-11-12
 57, AJB 57, 1957, 2013-03-19, 2013-05-27, 2013-06-02, , 2020-11-13, 2020-11-26
 56, AJB 56, 1956, 2013-09-14, 2013-10-11, 2013-11-02, , 2020-11-27, 2020-11-29
 55, AJB 55, 1955, 2013-11-04, 2013-11-30, 2013-12-01, , 2020-11-30, 2020-12-04
 54, AJB 54, 1954, 2013-12-03, 2013-12-17, 2013-12-20, , 2020-12-05, 2020-12-05
 53, AJB 53, 1953, 2013-12-22, 2014-01-11, 2014-01-26, , 2020-12-06, 2020-12-08
 52, AJB 52, 1952, 2014-02-01, 2014-03-28, 2014-04-04, , 2020-12-11, 2020-12-13
 51, AJB 51, 1951, 2014-04-06, 2014-08-19, 2014-08-24, , 2020-12-14, 2020-12-18
 50, AJB 50, 1950, 2014-08-25, 2014-10-26, 2014-11-02, , 2020-12-19, 2020-12-21
 49, AJB 49, 1949, 2014-11-02, 2015-02-15, 2015-02-23, , 2020-12-21, 2020-12-23
 48, AJB 48, 1947, 2015-02-24, 2015-03-22, 2015-04-12, , 2020-12-24, 2020-12-27
 47, AJB 47, 1947, 2015-04-18, 2015-05-03, 2015-05-08, , 2020-12-28, 2020-12-28
 46, AJB 46, 1943-1946 2, 2015-05-12, 2015-07-26, 2015-08-09, , 2020-12-28, 2020-12-28 
 45, AJB 45, 1943-1946 1, 2015-09-06, 2015-10-17, 2015-10-31, , 2020-12-29, 2020-12-29
 44, AJB 44, 1942, 2015-12-25, 2016-01-01, 2016-01-02, , 2020-12-30, 2020-12-30
 43, AJB 43, 1941, 2016-01-24, 2016-05-03, 2016-05-14, , 2020-12-31, 2020-12-31
 42, AJB 42, 1940, 2016-05-15, 2016-05-29, 2016-05-30, , 2020-12-31, 2020-12-31
 41, AJB 41, 1939, 2016-06-11, 2016-07-24, 2016-07-31, , 2020-12-31, 2020-12-31
 40, AJB 40, 1938, 2016-08-21, 2016-12-31, 2017-01-01, , 2021-01-01, 2021-01-01
 39, AJB 39, 1937, 2017-01-21, 2017-02-05, 2017-02-05, , ,
 38, AJB 38, 1936, 2017-02-12, 2017-03-20, 2017-03-25, , ,
 37, AJB 37, 1935, 2017-04-23, 2017-06-05, 2017-06-10, , ,
 36, AJB 36, 1934, 2017-06-11, 2017-07-20, 2017-07-24, , ,
 35, AJB 35, 1933, 2017-08-12, 2017-08-15, 2017-08-18, , ,
 34, AJB 34, 1932, 2017-08-20, 2017-09-04, 2017-09-04, , ,
 33, AJB 33, 1931, 2017-10-21, 2017-11-13, 2017-11-24, , ,
 32, AJB 32, 1930, 2017-11-24, 2017-12-07, 2017-12-07, , ,
 31, AJB 31, 1929, 2017-12-09, 2017-12-28, 2017-12-28, , ,
 30, AJB 30, 1928, 2017-12-29, 2018-01-07, 2018-01-07, , ,
 29, AJB 29, 1927, 2018-01-29, 2018-02-18, 2018-02-22, , ,
 28, AJB 28, 1926, 2018-03-03, 2018-03-14, 2018-03-16, , ,
 27, AJB 27, 1925, 2018-03-18, 2018-04-17, 2018-04-22, , ,
 26, AJB 26, 1924, 2018-05-19, 2018-05-26, 2018-05-27, , ,
 25, AJB 25, 1923, 2018-06-17, 2018-08-10, 2018-08-19, , ,
 24, AJB 24, 1922, 2018-08-10, 2018-08-16, 2018-08-26, , ,
 23, AJB 23, 1921, 2018-08-26, 2018-09-22, 2018-09-23, , ,
 22, AJB 22, 1920, 2018-09-23, 2018-10-29, 2018-11-02, , ,
 21, AJB 21, 1919, 2018-11-04, 2018-11-17, 2018-11-18, , ,
 20, AJB 20, 1918, 2018-11-22, 2018-11-24, 2018-11-25, , ,
 19, AJB 19, 1917, 2018-12-08, 2018-12-23, 2018-12-25, , ,
 18, AJB 18, 1916, 2018-12-26, 2019-01-01, 2019-01-01, , ,
 17, AJB 17, 1915, 2019-01-06, 2019-01-06, 2019-01-06, , ,
 16, AJB 16, 1914, 2019-01-12, 2019-01-12, 2019-01-15, , ,
 15, AJB 15, 1913, 2019-01-26, 2019-03-10, 2019-03-17, , ,
 14, AJB 14, 1912, 2019-04-08, 2019-07-13, 2019-07-14, , ,
 13, AJB 13, 1911, 2019-07-28, 2019-08-17, 2019-08-18, , ,
 12, AJB 12, 1910, 2019-08-24, 2019-09-08, 2019-09-15, , ,
 11, AJB 11, 1909, 2019-09-27, 2019-11-17, 2019-11-24, , ,
 10, AJB 10, 1908, 2019-11-28, 2020-01-01, 2020-01-03, , ,
 09, AJB 09, 1907, 2020-01-11, 2020-02-01, 2020-02-05, , ,
 08, AJB 08, 1906, 2020-03-01, 2020-03-30, 2020-04-03, , ,
 07, AJB 07, 1905, 2020-04-07, 2020-04-19, 2020-04-21, , ,
 06, AJB 06, 1904, 2020-04-23, 2020-05-04, 2020-05-07, , ,
 05, AJB 05, 1903, 2020-05-11, 2020-05-25, 2020-05-29, , ,
 04, AJB 04, 1902, 2020-05-30, 2020-06-12, 2020-06-15, , ,
 03, AJB 03, 1901, 2020-06-18, 2020-07-15, 2020-07-21, , ,
 02, AJB 02, 1900, 2020-07-23, 2020-08-17, 2020-08-22, , ,
 01, AJB 01, 1899, 2020-08-24, 2020-09-06, 2020-09-07, , ,
